   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     172.92       4.398       2.839       1.558       4.398       6.884       3.666       3.218       6.884       2.204
     173.08       4.406       2.845       1.562       4.406       6.894       3.675       3.219       6.894       2.209
     173.10       4.407       2.845       1.562       4.407       6.895       3.676       3.220       6.895       2.210
     174.53       4.485       2.894       1.591       4.485       6.985       3.756       3.230       6.985       2.255
     174.58       4.487       2.896       1.592       4.487       6.989       3.759       3.230       6.989       2.256
     175.00       4.510       2.910       1.600       4.510       7.015       3.782       3.233       7.015       2.270
     175.24       4.524       2.918       1.606       4.524       7.030       3.796       3.234       7.030       2.277
     175.26       4.526       2.919       1.607       4.526       7.031       3.797       3.234       7.031       2.278
     175.47       4.538       2.926       1.612       4.538       7.045       3.809       3.236       7.045       2.284
     177.10       4.636       2.982       1.654       4.636       7.147       3.902       3.245       7.147       2.336
     177.22       4.643       2.986       1.657       4.643       7.155       3.909       3.246       7.155       2.340
     177.24       4.644       2.987       1.658       4.644       7.156       3.910       3.246       7.156       2.341
     178.02       4.691       3.013       1.678       4.691       7.205       3.955       3.250       7.205       2.367
     178.05       4.693       3.014       1.679       4.693       7.207       3.957       3.251       7.207       2.368
     179.27       4.766       3.055       1.711       4.766       7.284       4.027       3.257       7.284       2.410
     179.74       4.794       3.071       1.723       4.794       7.314       4.055       3.259       7.314       2.426
     179.75       4.795       3.072       1.723       4.795       7.314       4.055       3.259       7.314       2.426
     180.00       4.810       3.080       1.730       4.810       7.330       4.070       3.260       7.330       2.435
     180.40       4.838       3.095       1.743       4.838       7.363       4.091       3.272       7.363       2.449
     180.41       4.839       3.095       1.744       4.839       7.364       4.091       3.272       7.364       2.449
     180.71       4.860       3.106       1.754       4.860       7.388       4.107       3.281       7.388       2.459
     181.14       4.890       3.122       1.768       4.890       7.423       4.130       3.294       7.423       2.474
     182.16       4.961       3.158       1.803       4.961       7.507       4.183       3.324       7.507       2.509
     182.17       4.962       3.159       1.803       4.962       7.508       4.184       3.324       7.508       2.509
     182.39       4.977       3.167       1.811       4.977       7.526       4.195       3.331       7.526       2.516
     183.45       5.051       3.205       1.847       5.051       7.613       4.251       3.362       7.613       2.553
     183.91       5.084       3.221       1.862       5.084       7.651       4.275       3.375       7.651       2.568
     184.10       5.097       3.228       1.869       5.097       7.666       4.285       3.381       7.666       2.575
     184.52       5.126       3.243       1.883       5.126       7.701       4.308       3.393       7.701       2.589
     184.53       5.127       3.243       1.884       5.127       7.701       4.308       3.393       7.701       2.589
     184.76       5.143       3.251       1.892       5.143       7.720       4.320       3.400       7.720       2.597
     184.80       5.146       3.253       1.893       5.146       7.724       4.323       3.401       7.724       2.599
     185.00       5.160       3.260       1.900       5.160       7.740       4.333       3.407       7.740       2.606
     185.21       5.174       3.268       1.906       5.174       7.757       4.344       3.413       7.757       2.613
     186.60       5.269       3.321       1.948       5.269       7.871       4.418       3.453       7.871       2.660
     186.87       5.287       3.331       1.956       5.287       7.893       4.432       3.461       7.893       2.669
     187.95       5.361       3.372       1.988       5.361       7.982       4.490       3.492       7.982       2.706
     188.23       5.380       3.383       1.997       5.380       8.005       4.505       3.500       8.005       2.716
     188.31       5.385       3.386       1.999       5.385       8.011       4.509       3.502       8.011       2.718
     188.70       5.412       3.401       2.011       5.412       8.043       4.530       3.513       8.043       2.732
     190.00       5.500       3.450       2.050       5.500       8.150       4.600       3.550       8.150       2.776
     190.02       5.501       3.451       2.051       5.501       8.151       4.601       3.550       8.151       2.777
     190.70       5.546       3.478       2.068       5.546       8.200       4.634       3.566       8.200       2.800
     191.04       5.569       3.491       2.077       5.569       8.224       4.650       3.574       8.224       2.811
     191.29       5.585       3.501       2.084       5.585       8.242       4.662       3.579       8.242       2.820
     191.34       5.588       3.503       2.085       5.588       8.245       4.665       3.580       8.245       2.821
     192.38       5.657       3.544       2.113       5.657       8.319       4.715       3.604       8.319       2.856
     192.40       5.658       3.545       2.113       5.658       8.320       4.716       3.604       8.320       2.856
     192.80       5.685       3.561       2.124       5.685       8.349       4.736       3.613       8.349       2.869
     192.82       5.686       3.562       2.124       5.686       8.350       4.737       3.613       8.350       2.870
     193.50       5.731       3.589       2.142       5.731       8.398       4.770       3.629       8.398       2.893
     193.52       5.732       3.590       2.143       5.732       8.400       4.771       3.629       8.400       2.893
     195.00       5.830       3.648       2.182       5.830       8.505       4.843       3.662       8.505       2.942
     195.13       5.840       3.654       2.186       5.840       8.514       4.850       3.665       8.514       2.947
     195.14       5.840       3.654       2.186       5.840       8.515       4.850       3.665       8.515       2.947
     196.52       5.942       3.716       2.227       5.942       8.613       4.918       3.695       8.613       2.993
