   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     617.70      23.031      23.031       0.000      23.031      34.600      31.983       1.468      33.451      11.531
     618.00      23.040      23.040       0.000      23.040      30.820      28.471       1.276      29.748      11.523
     618.20      23.046      23.046       0.000      23.046      28.300      26.132       1.152      27.285      11.518
     618.70      23.061      23.061       0.000      23.061      29.800      27.489       1.163      28.652      11.505
     618.80      23.064      23.064       0.000      23.064      29.428      27.140       1.138      28.278      11.503
     618.90      23.067      23.067       0.000      23.067      29.056      26.783       1.122      27.905      11.500
     619.00      23.070      23.070       0.000      23.070      28.683      26.427       1.105      27.532      11.767
     619.80      23.094      23.094       0.000      23.094      25.706      23.591       0.973      24.564      13.900
     620.00      23.100      23.100       0.000      23.100      24.961      22.885       0.941      23.826      12.100
     620.50      23.114      23.114       0.000      23.114      23.100      21.127       0.861      21.988      11.250
     621.00      23.128      23.128       0.000      23.128      26.529      24.203       0.978      25.181      10.400
     621.90      23.153      23.153       0.000      23.153      32.700      29.701       1.181      30.882      10.670
     622.00      23.156      23.156       0.000      23.156      32.415      29.427       1.168      30.596      10.700
     623.00      23.184      23.184       0.000      23.184      29.569      26.710       1.042      27.752      10.427
     623.10      23.187      23.187       0.000      23.187      29.285      26.440       1.029      27.469      10.400
     624.00      23.212      23.212       0.000      23.212      26.723      24.018       0.920      24.938      12.920
     624.10      23.215      23.215       0.000      23.215      26.439      23.750       0.908      24.658      13.200
     624.50      23.226      23.226       0.000      23.226      25.300      22.681       0.861      23.542      12.711
     624.60      23.229      23.229       0.000      23.229      25.476      22.828       0.865      23.693      12.589
     624.93      23.238      23.238       0.000      23.238      26.058      23.851       0.898      24.750      12.186
     625.00      23.240      23.240       0.000      23.240      26.181      24.071       0.905      24.977      12.100
     625.10      23.243      23.243       0.000      23.243      26.357      24.387       0.916      25.303      12.080
     625.90      23.265      23.265       0.000      23.265      27.767      25.705       0.951      26.656      11.920
     626.00      23.268      23.268       0.000      23.268      27.943      25.877       0.955      26.833      11.900
     626.60      23.285      23.285       0.000      23.285      29.000      26.911       0.982      27.893      11.780
     627.00      23.296      23.296       0.000      23.296      25.720      23.900       0.866      24.765      11.700
     627.10      23.299      23.299       0.000      23.299      24.900      23.146       0.837      23.983      11.680
     628.00      23.324      23.324       0.000      23.324      27.600      25.734       0.914      26.649      11.500
     629.00      23.352      23.352       0.000      23.352      30.600      28.628       0.997      29.626      11.333
     629.60      23.369      23.369       0.000      23.369      32.400      30.374       1.045      31.419      11.233
     629.70      23.372      23.372       0.000      23.372      32.135      30.136       1.035      31.171      11.217
     629.73      23.372      23.372       0.000      23.372      32.056      30.066       1.032      31.098      11.212
     630.00      23.380      23.380       0.000      23.380      31.341      29.433       1.005      30.438      11.167
     630.30      23.388      23.388       0.000      23.388      30.547      28.728       0.975      29.703      11.117
     631.00      23.408      23.408       0.000      23.408      28.694      27.037       0.944      27.981      11.000
     631.60      23.425      23.425       0.000      23.425      27.106      25.582       0.914      26.496      14.600
